,targets_x,targets_y,scores
0,1407,611,11021.975191184347
1,1242,1365,11021.975191184347
2,15,2126,11021.975191184347
3,63,1805,11021.975191184347
4,1326,34,11021.975191184347
5,906,189,11021.975191184347
6,1204,1913,11021.975191184347
7,1016,2116,11021.975191184347
8,84,499,11021.975191184347
9,716,1372,11021.975191184347
10,374,235,11021.975191184347
11,950,955,11021.975191184347
12,1061,2323,11021.975191184347
13,846,1121,11021.975191184347
14,1019,34,11021.975191184347
15,406,97,11021.975191184347
16,881,853,11021.975191184347
17,1351,2162,11021.975191184347
18,1284,366,11021.975191184347
19,1155,1937,11021.975191184347
20,433,345,11021.975191184347
21,379,2105,11021.975191184347
22,1037,202,11021.975191184347
23,1279,1508,11021.975191184347
24,1230,1372,11021.975191184347
25,386,445,11021.975191184347
26,1020,418,11021.975191184347
27,788,1072,11021.975191184347
28,1027,194,11021.975191184347
29,1021,247,11021.975191184347
30,72,1632,11021.975191184347
31,593,55,11021.975191184347
32,1052,26,11021.975191184347
33,1228,9,11021.975191184347
34,638,100,11021.975191184347
35,350,293,11021.975191184347
36,1054,335,11021.975191184347
37,391,467,11021.975191184347
38,121,1882,11021.975191184347
39,1224,1780,11021.975191184347
40,478,1182,11021.975191184347
41,775,2090,11021.975191184347
42,748,982,11021.975191184347
43,1099,1657,11021.975191184347
44,1287,393,11021.975191184347
45,634,2176,11021.975191184347
46,267,2367,11021.975191184347
47,1287,456,11021.975191184347
48,652,2133,11021.975191184347
49,189,1790,11021.975191184347
